part_number,status
3VA1140-3EF32-0AA0,NOT IN OLD CATALOGUE
0292460000,FOUND EXACTLY
5SY6225-7CC,FOUND EXACTLY
5SL4225-7CC,FOUND EXACTLY
3VA1196-3ED22-0AA0,FOUND EXACTLY
U24O250EKT,FOUND - FORMAT DIFFERENCE
U4848G250ECT-XM1XX,NOT IN OLD CATALOGUE
3VA2010-5HN32-0AA0,FOUND EXACTLY
3RT2926-1BC00,FOUND EXACTLY
U4848G250ECT-SM1XX,FOUND - FORMAT DIFFERENCE
3RW4038-1BB04,NOT IN OLD CATALOGUE
6EP3333-6SB00-0AY0,NOT IN OLD CATALOGUE
3SU1103-0AB30-1BA0,FOUND EXACTLY
3VA1120-5ED22-0AA0,FOUND EXACTLY
PB-M-RED,FOUND EXACTLY
U96O250EKT-SMXXX,NOT IN OLD CATALOGUE
3SE5250-0CC05,NOT IN OLD CATALOGUE
U4218G250ECT-XM1XX,NOT IN OLD CATALOGUE
3WL9111-0AT46-0AA0,NOT IN OLD CATALOGUE
6ED1055-1MM00-0BA2,FOUND EXACTLY
1020240000,NOT IN OLD CATALOGUE
U1212G250ECT-XMXXX,NOT IN OLD CATALOGUE
3VA9988-0AB12,FOUND EXACTLY
5SY4210-7CC,FOUND EXACTLY
U48O250ECT-SM1XX,NOT IN OLD CATALOGUE
3VA2025-6HM32-0AA0,FOUND EXACTLY
5ST3031,FOUND EXACTLY
5SV9316-7PK06,FOUND EXACTLY
6SL3210-1KE21-7AF1,FOUND EXACTLY
U72G250EKT-SMXXX,FOUND - FORMAT DIFFERENCE
3VA1116-3ED12-0AA0,FOUND EXACTLY
5SL4303-7CC,NOT IN OLD CATALOGUE
3VA1132-6EF32-0AA0,FOUND EXACTLY
5SL4304-7CC,FOUND EXACTLY
3SU1401-2BC40-1AA0,FOUND EXACTLY
U3018G250EKT-XM2XX,NOT IN OLD CATALOGUE
3SU1401-1BG60-1AA0,NOT IN OLD CATALOGUE
1010000000,FOUND EXACTLY
