page_number,x,y,text
1,10.012,41.454,PORTFOLIO CATALOGUE
1,7.034,43.24,"Industry’s choice for electrical and automation products,"
1,13.892,44.14,systems and solutions.
2,3.127,2.001,OUR CORE PARTNERS
2,3.127,24.097,COMPLIMENTARY PARTNERS
2,1.167,50.628,2
3,4.711,2.765,SIEMENS
3,4.711,4.224,LOW VOLTAGE ELECTRICAL PRODUCTS (SENTRON)
3,30.558,4.224,18
3,4.711,5.328,Miniature Circuit Breakers (MCBs)
3,30.558,5.328,19
3,4.711,6.167,|
3,5.42,6.167,5SL (C Curve)
3,30.558,6.167,19
3,4.712,7.094,|
3,5.421,7.094,5SY (C Curve)
3,30.559,7.094,20
3,4.713,8.021,|
3,5.421,8.021,5SY (D Curve)
3,30.559,8.021,21
3,4.713,9.036,RCBOs
3,30.559,9.036,22
3,4.712,9.963,MCB & RCBO Accessories
3,30.559,9.963,23
3,4.712,10.89,Residual Current Devices (5SV)
3,30.559,10.89,24
3,4.712,11.817,Distribution Board Accessories
3,30.559,11.817,25
3,4.712,12.744,Distribution Boards
3,30.559,12.744,26
3,4.713,13.582,|
3,5.421,13.582,APS DB Ultimate
3,30.559,13.582,26
3,4.713,14.598,MCB Chassis
3,30.559,14.598,28
3,4.713,15.525,Moulded Case Circuit Breakers (3VA1) Thermal Magnetic
3,30.559,15.525,29
3,4.713,16.364,|
3,30.56,16.364,29
3,4.714,17.291,|
3,30.561,17.291,30
3,4.714,18.217,|
3,30.561,18.217,31
3,4.715,19.144,|
3,5.424,19.144,Accessories
3,30.562,19.144,33
3,4.715,20.16,Moulded Case Circuit Breakers (3VA2) ETU
3,30.562,20.16,35
3,4.716,20.999,|
3,5.424,20.999,3 Pole (ETU LI)
3,30.563,20.999,35
3,4.716,21.926,|
3,5.425,21.926,3 Pole (ETU LSI)
3,30.563,21.926,36
3,4.717,22.852,|
3,5.426,22.852,3 Pole (ETU LIG)
3,30.564,22.852,37
3,4.718,23.779,|
3,5.426,23.779,3 Pole (Communications Capable)
3,30.564,23.779,38
3,4.718,24.706,|
3,5.427,24.706,Accessories
3,30.565,24.706,40
3,4.718,25.722,MCCB Encapsulated Chassis
3,30.565,25.722,43
3,4.718,26.649,Power Meters
3,30.565,26.649,45
3,4.718,27.576,Disconnection Switches
3,30.565,27.576,47
3,4.718,28.502,Panel Mount Isolating Switches
3,30.565,28.502,48
3,4.718,29.429,Automatic Transfer Control Devices
3,30.565,29.429,49
3,4.718,30.356,Basic Transfer Switches
3,30.565,30.356,50
3,4.718,31.283,Manual Transfer Switches
3,30.565,31.283,51
3,4.719,32.122,|
3,5.428,32.122,Accessories
3,30.566,32.122,52
3,4.719,33.137,Remote & Automatic Transfer Switching Equipment
3,30.566,33.137,53
3,4.719,33.976,|
3,5.428,33.976,Remote Transfer Switches
3,30.566,33.976,54
3,4.72,34.903,|
3,5.429,34.903,Automatic Transfer Switches
3,30.567,34.903,55
3,4.721,35.83,|
3,5.429,35.83,Accessories
3,30.568,35.83,56
3,4.721,36.846,Fuse Switches
3,30.568,36.846,57
3,4.721,37.684,|
3,5.43,37.684,Accessories
3,30.568,37.684,58
3,4.721,38.7,Fuse Holders and Fuses
3,30.568,38.7,59
3,4.721,39.627,Air Circuit Breakers (3WA)
3,30.568,39.627,60
3,16.614,1.362,CONTENTS
3,35.12,50.628,3
4,16.614,1.362,CONTENTS
4,4.711,2.765,INDUSTRIAL CONTROL PRODUCTS (SIRIUS)
4,30.558,2.765,62
4,4.711,3.869,Contactors
4,30.558,3.869,63
4,4.711,4.708,|
4,5.42,4.708,Accessories
4,30.558,4.708,65
4,4.711,5.724,Safety Contactors
4,30.558,5.724,67
4,4.711,6.651,Motor Circuit Breakers (Thermal Magnetic)
4,30.558,6.651,68
4,4.711,7.577,Motor Circuit Breakers (Magnetic Only)
4,30.558,7.577,69
4,4.711,8.504,Motor Circuit Breakers (Increased Switching Capacity)
4,30.558,8.504,70
4,4.712,9.343,|
4,5.421,9.343,Accessories
4,30.559,9.343,71
4,4.712,10.359,Thermal Overload Relays & Accessories
4,30.559,10.359,72
4,4.712,11.286,Electronic Overload Relays & Accessories
4,30.559,11.286,74
4,4.712,12.212,Motor Starter In-feed System
4,30.559,12.212,75
4,4.712,13.139,Busbar Systems
4,30.559,13.139,76
4,4.712,14.066,Busbar Adapters
4,30.559,14.066,77
4,4.712,14.993,Intelligent Motor Management Relay (SIMOCODE)
4,30.559,14.993,79
4,4.712,15.920000000000002,Motor Starters
4,30.559,15.920000000000002,82
4,4.712,16.847,Safety Relays
4,30.559,16.847,83
4,4.712,17.774,Coupling Relays
4,30.559,17.774,84
4,4.712,18.701,Timing Relays
4,30.559,18.701,85
4,4.712,19.627,Monitoring Relays
4,30.559,19.627,86
4,4.712,20.554,"Push Buttons, Indicators & Actuators"
4,30.558,20.554,87
4,4.712,21.393,|
4,5.421,21.393,Accessories
4,30.559,21.393,95
4,4.713,22.32,|
4,5.421,22.32,Enclosures
4,30.559,22.32,96
4,4.713,23.247,|
4,5.422,23.247,APS Push Button Codes to Siemens Part Numbers
4,30.56,23.247,97
4,4.713,24.262,Signalling Columns
4,30.56,24.262,98
4,4.713,25.189,Position Switches
4,30.194,25.189,100
