page_number,x,y,text
3,5.422,16.364,1 Pole
3,5.423,17.291,2 Pole
3,5.423,18.217,3 Pole
4,5.424,38.215,G120C Compact
4,5.424,39.142,G120 Modular
6,5.435,33.714,Ri4Power
8,5.424,13.979,RS-485 Data Cables
8,5.425,14.906,RS-422 Data Cables
8,5.426,15.832,RS-232 Data Cables
19,18.914,5.978,5SL6101-7CC
19,29.001,5.978,5SL4101-7CC
19,18.914,7.041,5SL6102-7CC
19,29.001,7.041,5SL4102-7CC
19,18.914,8.104,5SL6104-7CC
19,29.001,8.104,5SL4104-7CC
19,18.914,9.168,5SL6106-7CC
19,29.001,9.168,5SL4106-7CC
19,18.914,10.231,5SL6110-7CC
19,29.001,10.231,5SL4110-7CC
19,18.914,11.294,5SL6116-7CC
19,29.001,11.294,5SL4116-7CC
19,18.914,12.357,5SL6120-7CC
19,29.001,12.357,5SL4120-7CC
19,18.914,13.428,5SL6125-7CC
19,29.001,13.428,5SL4125-7CC
19,18.914,14.499,5SL6132-7CC
19,29.001,14.499,5SL4132-7CC
19,18.914,15.562,5SL6140-7CC
19,29.001,15.562,5SL4140-7CC
19,18.914,16.625,5SL6150-7CC
19,29.001,16.625,5SL4150-7CC
19,18.914,17.688,5SL6163-7CC
19,29.001,17.688,5SL4163-7CC
19,18.914,20.214,5SL6201-7CC
19,29.001,20.214,5SL4201-7CC
19,18.914,21.277,5SL6202-7CC
19,29.001,21.277,5SL4202-7CC
19,18.914,22.34,5SL6204-7CC
19,29.001,22.34,5SL4204-7CC
19,18.914,23.403,5SL6206-7CC
19,29.001,23.403,5SL4206-7CC
19,18.914,24.467,5SL6210-7CC
19,29.001,24.467,5SL4210-7CC
19,18.914,25.53,5SL6216-7CC
19,29.001,25.53,5SL4216-7CC
19,18.914,26.593,5SL6220-7CC
19,29.001,26.593,5SL4220-7CC
19,18.914,27.656,5SL6225-7CC
19,29.001,27.656,5SL4225-7CC
19,18.914,28.719,5SL6232-7CC
19,29.001,28.719,5SL4232-7CC
19,18.914,29.782,5SL6240-7CC
19,29.001,29.782,5SL4240-7CC
19,18.914,30.845,5SL6250-7CC
19,29.001,30.845,5SL4250-7CC
19,18.914,31.908,5SL6263-7CC
19,29.001,31.908,5SL4263-7CC
19,18.918,34.434,5SL6301-7CC
19,29.001,34.434,5SL4301-7CC
19,18.918,35.497,5SL6302-7CC
19,29.001,35.497,5SL4302-7CC
19,18.919,36.56,5SL6304-7CC
19,29.002,36.56,5SL4304-7CC
19,18.919,37.624,5SL6306-7CC
19,29.002,37.624,5SL4306-7CC
19,18.919,38.687,5SL6310-7CC
19,29.002,38.687,5SL4310-7CC
19,18.919,39.75,5SL6316-7CC
19,29.002,39.75,5SL4316-7CC
19,18.919,40.813,5SL6320-7CC
19,29.002,40.813,5SL4320-7CC
19,18.919,41.876,5SL6325-7CC
19,29.002,41.876,5SL4325-7CC
19,18.919,42.939,5SL6332-7CC
19,29.002,42.939,5SL4332-7CC
19,18.919,44.002,5SL6340-7CC
19,29.002,44.002,5SL4340-7CC
19,18.919,45.065,5SL6350-7CC
19,29.002,45.065,5SL4350-7CC
19,18.919,46.129,5SL6363-7CC
19,29.002,46.129,5SL4363-7CC
20,18.892,5.535,5SY6101-7CC
20,28.978,5.535,5SY4101-7CC
20,18.892,6.421,5SY6102-7CC
20,28.978,6.421,5SY4102-7CC
20,18.892,7.307,5SY6104-7CC
20,28.978,7.307,5SY4104-7CC
20,18.892,8.193,5SY6106-7CC
20,28.978,8.193,5SY4106-7CC
20,18.892,9.079,5SY6110-7CC
20,28.978,9.079,5SY4110-7CC
20,18.892,9.965,5SY6116-7CC
20,28.978,9.965,5SY4116-7CC
20,18.892,10.851,5SY6120-7CC
20,28.978,10.851,5SY4120-7CC
20,18.892,11.737,5SY6125-7CC
20,28.978,11.737,5SY4125-7CC
20,18.892,12.623,5SY6132-7CC
20,28.978,12.623,5SY4132-7CC
20,18.892,13.509,5SY6140-7CC
20,28.978,13.509,5SY4140-7CC
20,18.892,14.395,5SY6150-7CC
20,28.978,14.395,5SY4150-7CC
20,18.892,15.281,5SY6163-7CC
20,28.978,15.281,5SY4163-7CC
20,29.293,17.452,5SP4180-7
20,29.293,18.338,5SP4191-7
20,29.293,19.224,5SP4192-7
20,18.892,21.397,5SY6201-7CC
20,28.979,21.397,5SY4201-7CC
20,18.892,22.282,5SY6202-7CC
20,28.979,22.282,5SY4202-7CC
20,18.892,23.168,5SY6204-7CC
20,28.979,23.168,5SY4204-7CC
20,18.892,24.054,5SY6206-7CC
20,28.979,24.054,5SY4206-7CC
20,18.892,24.94,5SY6210-7CC
20,28.979,24.94,5SY4210-7CC
20,18.892,25.826,5SY6216-7CC
20,28.979,25.826,5SY4216-7CC
20,18.892,26.712,5SY6220-7CC
20,28.979,26.712,5SY4220-7CC
20,18.892,27.598,5SY6225-7CC
20,28.979,27.598,5SY4225-7CC
20,18.892,28.484,5SY6232-7CC
20,28.979,28.484,5SY4232-7CC
20,18.892,29.37,5SY6240-7CC
20,28.979,29.37,5SY4240-7CC
20,18.892,30.256,5SY6250-7CC
20,28.979,30.256,5SY4250-7CC
20,18.892,31.142,5SY6263-7CC
20,28.979,31.142,5SY4263-7CC
20,18.892,33.314,5SY6301-7CC
20,28.979,33.314,5SY4301-7CC
20,18.892,34.199,5SY6302-7CC
20,28.979,34.199,5SY4302-7CC
20,18.892,35.085,5SY6304-7CC
20,28.979,35.085,5SY4304-7CC
20,18.892,35.971,5SY6306-7CC
20,28.979,35.971,5SY4306-7CC
20,18.892,36.857,5SY6310-7CC
20,28.979,36.857,5SY4310-7CC
20,18.892,37.743,5SY6316-7CC
20,28.979,37.743,5SY4316-7CC
20,18.892,38.629,5SY6320-7CC
20,28.979,38.629,5SY4320-7CC
20,18.892,39.515,5SY6325-7CC
20,28.979,39.515,5SY4325-7CC
20,18.892,40.401,5SY6332-7CC
20,28.979,40.401,5SY4332-7CC
20,18.892,41.287,5SY6340-7CC
20,28.979,41.287,5SY4340-7CC
20,18.892,42.173,5SY6350-7CC
20,28.979,42.173,5SY4350-7CC
20,18.892,43.059,5SY6363-7CC
20,28.979,43.059,5SY4363-7CC
20,29.291,46.116,5SP4380-7
20,29.29,47.002,5SP4391-7
20,29.29,47.888,5SP4392-7
21,26.458,5.535,5SY4104-8CC
21,26.458,6.421,5SY4106-8CC
21,26.458,7.307,5SY4110-8CC
21,26.458,8.193,5SY4116-8CC
21,26.458,9.079,5SY4120-8CC
21,26.458,9.965,5SY4125-8CC
21,26.458,10.851,5SY4132-8CC
21,26.458,11.737,5SY4140-8CC
21,26.458,12.623,5SY4150-8CC
21,26.458,13.509,5SY4163-8CC
21,26.458,15.68,5SY4304-8CC
21,26.458,16.566,5SY4306-8CC
21,26.458,17.452,5SY4310-8CC
21,26.458,18.338,5SY4316-8CC
21,26.458,19.224,5SY4320-8CC
21,26.458,20.11,5SY4325-8CC
21,26.458,20.996,5SY4332-8CC
21,26.458,21.882,5SY4340-8CC
21,26.458,22.768,5SY4350-8CC
21,26.458,23.654,5SY4363-8CC
21,26.458,27.269,5SY5102-7CC
21,26.458,28.155,5SY5104-7CC
21,26.458,29.04,5SY5106-7CC
21,26.458,29.926,5SY5110-7CC
21,26.458,30.812,5SY5116-7CC
21,26.458,31.698,5SY5120-7CC
21,26.458,32.584,5SY5125-7CC
21,26.458,33.47,5SY5132-7CC
21,26.458,34.356,5SY5140-7CC
21,26.458,35.242,5SY5150-7CC
21,26.458,36.128,5SY5163-7CC
21,26.458,38.3,5SY5202-7CC
21,26.458,39.186,5SY5204-7CC
21,26.458,40.072,5SY5206-7CC
21,26.458,40.958,5SY5210-7CC
21,26.458,41.843,5SY5216-7CC
21,26.458,42.729,5SY5220-7CC
21,26.458,43.615,5SY5225-7CC
21,26.458,44.501,5SY5232-7CC
21,26.458,45.387,5SY5240-7CC
21,26.458,46.273,5SY5250-7CC
21,26.458,47.159,5SY5263-7CC
22,17.578,4.595,5SU9304-7KK06
22,17.578,5.569,5SU9304-7KK10
22,17.578,6.544,5SU9304-7KK16
22,17.578,7.518000000000001,5SU9304-7KK20
22,17.578,8.493,5SU9304-7KK25
22,17.578,9.467,5SU9304-7KK32
22,17.578,10.442,5SU9304-7KK40
22,17.609,12.983,5SV9316-7PK06
22,17.609,13.958,5SV9316-7PK10
22,17.609,14.932,5SV9316-7PK16
22,17.609,15.907,5SV9316-7PK20
22,17.609,16.882,5SV9316-7PK32
22,17.571,19.424,5SV9316-7NK06
22,17.571,20.398,5SV9316-7NK10
22,17.571,21.373,5SV9316-7NK16
22,17.571,22.347,5SV9316-7NK20
22,17.571,23.322,5SV9316-7NK25
22,17.571,24.296,5SV9316-7NK32
22,17.818,26.838,5SU3 0630 FN
22,17.818,27.813,5SU3 1030 FN
22,17.818,28.787,5SU3 1630 FN
22,17.818,29.762,5SU3 2030 FN
22,17.818,30.736,5SU3 2530 FN
22,17.818,31.711,5SU3 3230 FN
22,17.818,32.685,5SU3 4030 FN
22,17.818,33.66,5SU3 5030 FN
22,17.818,34.634,5SU3 6330 FN
22,17.578,37.176,5SU9354-7KK06
22,17.578,38.15,5SU9354-7KK10
22,17.578,39.125,5SU9354-7KK16
22,17.578,40.099,5SU9354-7KK20
22,17.578,41.074,5SU9354-7KK25
22,17.578,42.048,5SU9354-7KK32
22,17.578,43.023,5SU9354-7KK40
23,-19.626,4.595,5SU9304-7KK06
23,-19.626,5.569,5SU9304-7KK10
23,-19.626,6.544,5SU9304-7KK16
23,-19.626,7.518000000000001,5SU9304-7KK20
23,-19.626,8.493,5SU9304-7KK25
23,-19.626,9.467,5SU9304-7KK32
23,-19.626,10.442,5SU9304-7KK40
23,-19.595,12.983,5SV9316-7PK06
23,-19.595,13.958,5SV9316-7PK10
23,-19.595,14.932,5SV9316-7PK16
23,-19.595,15.907,5SV9316-7PK20
23,-19.595,16.882,5SV9316-7PK32
23,-19.633,19.424,5SV9316-7NK06
23,-19.633,20.398,5SV9316-7NK10
23,-19.633,21.373,5SV9316-7NK16
23,-19.633,22.347,5SV9316-7NK20
23,-19.633,23.322,5SV9316-7NK25
23,-19.633,24.296,5SV9316-7NK32
23,-19.387,26.838,5SU3 0630 FN
23,-19.387,27.813,5SU3 1030 FN
23,-19.387,28.787,5SU3 1630 FN
23,-19.387,29.762,5SU3 2030 FN
23,-19.387,30.736,5SU3 2530 FN
